course_id,name,description,duration,rating,price,skills,course_type_specialization,difficulty_advanced,difficulty_beginner,difficulty_intermediate,school_name_unknown,program_type_unknown,field_unknown,major_unknown,department_unknown,expertise_unknown,subject_Arts and Humanities,subject_Business,subject_Computer Science,subject_DataScience,subject_Health,subject_Information Technology,subject_Math and Logic,subject_Personal Development,subject_Physical Science and Engineering,subject_Social Sciences,platform_unknown
11,social policy for social service health practitioner specialization,compare historical intellectual crossnational perspective size structure outcome u social policy demonstrate knowledge u social welfare policy economic social political context order engaged citizendifferentiate various level structure public benefit social justice impact people receiving themformulate skill social policy implementation order effective professional practice,0.9078077330739329,0.0,-0.2967418445758224,"['differentiate alternative approach to social policy problem', 'critique component of a social policy based on their effectiveness at meeting the goal stated in the initiative', 'formulate practice strategy to overcome the historic bias in social welfare program', 'distinguish the value inherent in each social policy initiative', 'develop social welfare policy analysis and reform proposal']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,data visualization with tableau,identify value structure tableau public applies data visualization industry business analytics build interactive table connecting preparing customizing data tableau public create data visualization communicate analytic insight intended audience business stakeholder,-0.17234311634960067,0.0,-0.2967418445758224,"['tableau public platform', 'data insight', 'data visualization', 'interactive table']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,machine learning algorithm with in business analytics,conceptual framework ml conceptual foundation interpreting ml practice applying ml algorithm business data,-0.41237663844371925,0.0,-0.2967418445758224,"['prediction', 'regression', 'r programming', 'classification', 'clustering']",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,javascript programming with react node mongodb specialization,get comfortable programming concept using javascriptwrite nodejs restful apis using express frameworkcreate dynamic userfriendly frontend web application reactdevelop best practice deploy scale optimize application,0.9078077330739329,0.0,4.128896388667518,"['node.js', 'mongodb', 'javascript', 'react', 'express']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,electron and ion beam characterization,explain interaction electron ion beam semiconductor materialsdescribe constituent component electron ion beam characterization systemsdescribe application electron ion beam characterization,-0.6124045735221514,0.0,-0.2967418445758224,"['semiconductor device', 'complementary metal oxide semiconductor ( cmos )', 'semiconductor', 'semiconductor characterization technique', 'semiconductor material', 'semiconductor device physic']",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
16,valuebased care reimbursement model,explain feeforservice medical coding payment mechanism feeforservice lead higher cost without clearly improving outcomesdescribe range valuebased payment option hcplan alternative payment model frameworkdescribe importance risk adjustment quality score patient satisfaction measure valuebased care contract,-0.5924017800143082,0.0,-0.2967418445758224,"['health education', 'patient care', 'value-based care', 'public health', 'health care']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
17,machine learning for accounting with python,concept various machine learning algorithmshow apply machine learning model datasets python jupyter notebookhow evaluate machine learning modelshow optimize machine learning model,0.5877630369484415,0.0,-0.2967418445758224,"['python programming', 'machine learning model evaluation and optimization', 'basic time series analysis', 'machine learning modeling', 'text analysis']",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
18,engineering genetic circuit design,identify different type cell component structurediscover underlying structure device connection genetic partscontrast different experimental technique used genetic constructionevaluate different principle used genetic circuit design,-0.3123626709045032,0.0,-0.2967418445758224,"['biology', 'genetic circuit assembly', 'genetic circuit part', 'genetic circuit device', 'genetic circuit design']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
19,introduction to net core,understand net core feature version setup including difference net core net framework development environment setup master net core architecture cli core component efficiently develop build test deploy application using various command toolslearn aspnet core web application mvc pattern handling response configuring application including routing hosting environment gain proficiency net core concept like dependency injection ioc container middlewares configuration debugging testing technique,-0.4523822254594057,0.0,-0.2967418445758224,"['.net', 'middleware', '.net core', 'c sharp ( c # ) ( programming language )', 'mvc']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
134,ethic in engineering,key factor led historical case engineering failure cause outcome classic engineering failuresa working knowledge ethical foundation engineering,-0.4323794319515625,0.0,-0.2967418445758224,"['engineering', 'ethic']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20,genomic data science specialization,next generation sequencing experimentsgenomic technologiesdna rna epigenetic patternsgenome analysis,0.10769599276020433,0.0,-0.2967418445758224,"['bioinformatics algorithm', 'algorithm', 'python programming', 'algorithm on string', 'bioinformatics', 'biopython', 'genomics', 'statistic', 'data science', 'computational biology', 'samtools', 'command-line interface', 'unix', 'data analysis', 'r programming', 'biostatistics', 'bioconductor']",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21,social medium and social content strategy,benefit advantage business incorporating social medium overarching digital strategyhow differentiate influential social medium platform advantage marketer targeting specific audiencehow implement analyze effectiveness social content promotion distribution strategy,-0.4923878124750921,0.0,-0.2967418445758224,"['build and sustain a social medium community', 'share and promote social content', 'set up a social medium experience for a business', 'choose social medium platform and tool', 'plan a social medium advertising strategy']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
22,ibm fullstack javascript developer professional certificate,master fullstack development language framework tool technology develop jobready skill valued employerswrite deploy scale cloudnative backend application using node nosql database container microservices serverlessdevelop website frontend software using html cs javascript reactemploy devops practice agile methodology continuously build deploy software using cicd tool,3.3081429540151186,0.0,-0.2967418445758224,"['full-stack development', 'azure devops', 'javascript library', 'javascript', 'react', 'node']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,cybersecurity for data science,characterize cia principle use classify variety cyber scenariosidentify disseminate vulnerability data security space social human technical digitaldistinguish ethical boundary hacking applicationsexplore professional cybersecurity network connect expert field,-0.3123626709045032,0.0,-0.2967418445758224,"['communication', 'risk analysis', 'problem solving']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,data visualization with,create bar chart histogram pie chart scatter plot line graph box plot map using related package design customized chart plot using annotation axis title text label theme faceting create map using leaflet package create interactive dashboard using shiny package,-0.4523822254594057,0.0,-0.2967418445758224,"['data science', 'data analysis', 'data visualization', 'r programming']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,basic structure vector pointer string and file,store manipulate vector datacompare manipulate string textread write text csv file,-0.5123906059829354,0.0,-0.2967418445758224,"['string', 'computer science', 'c++', 'file', 'vector']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,study design in epidemiology,compare contrast different epidemiological study design order describe strength weakness,-0.5323933994907786,0.0,-0.2967418445758224,"['randomized controlled trial', 'study design', 'case-control study', 'cohort']",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
27,fundamental of good clinical practice prep and personnel,explore clinical trial process detail good clinical practice regulatory requirement,-0.6524101605378378,0.0,1.2718387950547283,"['drug development', 'regulatory framework', 'good clinical practice ( gcp )', 'clinical trial basic', 'clinical trial diversity']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
28,build wireframes and lowfidelity prototype,create storyboards come idea solution user needscreate wireframes paper digitally design tool figmabuild paper prototype create interactive designsdesign lowfidelity prototype figma,-0.3523682579201896,0.0,0.5435692123691155,"['user experience ( ux )', 'prototype', 'wireframe', 'user experience design ( uxd )', 'ux research']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,introduction to semiconductor process,learn modern semiconductor process,-0.6124045735221514,0.0,-0.2967418445758224,"['ion implantation', 'cmos process', 'mosfet', 'semiconductior', 'diffusion & doping', 'oxidation']",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
30,hrci human resource associate professional certificate,explain requirement technique recruit retain talent organizationunderstand performance management feedback impact employee relation organizationevaluate various benefit total remuneration technology organization,1.7079194733876615,0.0,-0.2967418445758224,"['employee relation', 'training development', 'performance management', 'recruitment', 'compliance strategy']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,agile development specialization,determine whats valuable user early focusing team testable narrative creating strong shared perspective drive focus outcome output facilitating culture experimentation testdriven resultsdriven approach agilehow charter focus analytics data science program enhances core objectiveshow iteratively identify test right agile practice leading framework like scrum xp kanban team work,0.10769599276020433,0.0,-0.2967418445758224,"['hypothesis-driven development', 'agile', 'lean startup', 'user experience ( ux )', 'design thinking']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
32,black performance a social protest,identify way pattern resistance past contribute ongoing social justice movementsreflect method achieving racial equity performance,-0.23235149687313034,0.0,1.2707183803121351,"['equity', 'social activism', 'social justice']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,business foundation specialization,understand branding gotomarket strategiesread income statement balance sheet cash flow statementsmanage people motivation reward systemsanalyze improve business process service manufacturing,0.9078077330739329,0.0,-0.2967418445758224,"['financial accounting', 'accounting', 'financial statement', 'balance sheet', 'decision-making', 'change management', 'human resource ( hr )', 'process management', 'operation management', 'six sigma', 'inventory', 'finance', 'marketing', 'positioning ( marketing )', 'marketing strategy', 'customer satisfaction', 'discounted cash flow', 'corporate finance', 'cash flow analysis']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
34,introduction to java and objectoriented programming,identify core aspect objectoriented programming feature java languageuse eclipse writing running java codedevelop program use java collection apply core objectoriented programming concept using class polymorphism method overloadingtest code applying principle testdriven development using java unit testing framework,-0.3123626709045032,0.0,-0.2967418445758224,"['unit testing', 'java syntax', 'java programming', 'object-oriented programming ( oop )', 'java tool']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
35,data visualization with tableau specialization,examine navigate learn use various feature tableau assess quality data perform exploratory analysiscreate design visualization dashboard intended audience combine data follow best practice present story,0.10769599276020433,0.0,-0.2967418445758224,"['storyboarding', 'map', 'tableau software', 'data visualization']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,data mining foundation and practice specialization,data mining pipeline data understanding preprocessing warehousingdata mining method frequent pattern classification clustering outlier data mining project project formulation design implementation reporting,0.9078077330739329,0.0,-0.2967418445758224,"['apply and evaluate data mining method', 'work through the data mining pipeline', 'data mining project design and implementation']",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,managing talent,learn best practice selecting recruiting onboarding talentlearn key approach measuring performance evaluating employeesunderstand cycle managing talent creating robust talent pipeline,-0.4323794319515625,0.0,5.137269657001443,"['onboarding', 'talent management', 'coaching', 'recruitment']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,new communication framework for healthcare,learn compassionate communication skill use practice theory rooted art humanity theater journalism,-0.6124045735221514,0.0,-0.2967418445758224,"['communication', 'empathy and compassion', 'perspective taking']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
39,process form with ai model in power automate,create train ai model ai buildercreate modify power automated flowautomate selection relevant document received email,-0.6624115572917595,0.0,2.27909164864606,"['ai builder', 'power automate']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
40,introduction to cybersecurity fundamental,learn identify cybersecurity foundation standard model effective protection strategy acquire skill construct best practice mitigating common cyber attack upon course completion explain attacker technique including phishing social engineering ransomware gain insight data protection online privacy method connected public network,-0.6524101605378378,0.0,-0.2967418445758224,"['authentication', 'cybersecurity', 'privacy', 'mitigation', 'protection']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
41,health impact of chemical in consumer product,assess impact risk chemical evaluate chemical exposureaddress chemical concern various product categoriesapply skill personal care cleaning building product toy,-0.37237105142803284,0.0,1.9440876406106788,"['motivation', 'performance', 'disease', 'flow network']",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
42,probability statistic for machine learning data science,describe quantify uncertainty inherent prediction made machine learning modelsvisually intuitively understand property commonly used probability distribution machine learning data scienceapply common statistical method like maximum likelihood estimation mle maximum priori estimation map machine learning problemsassess performance machine learning model using interval estimate margin error,-0.032323561794698176,0.0,-0.2967418445758224,"['probability and statistic', 'machine learning ( ml ) algorithm', 'statistical analysis', 'probability', 'statistical hypothesis testing']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,machine learning on google cloud specialization,use vertex ai automl bigquery ml build train deploy ml modelsimplement machine learning model using kera tensorflow machine learning enterprise best practicesdescribe perform exploratory data analysis improve data quality,0.9078077330739329,0.0,-0.2967418445758224,"['tensorflow', 'machine learning', 'feature engineering', 'cloud computing', 'vertex ai']",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,tool and practice for addressing pandemic challenge,use data make informed decision adopt policy pandemichow implement best practice address pandemic challenge,-0.6124045735221514,0.0,-0.2967418445758224,"['data science', 'pandemic', 'public health', 'social science', 'policy making']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
45,the history of rocket science,describe progression reasoning behind us mercury gemini apollo programsdescribe cost benefit space shuttle program u lost two shuttlesdescribe germany developed rocket warfare wwii u ussr used technology develop rocket program,-0.4923878124750921,0.0,-0.2967418445758224,"['rocket science', 'rocket mechanic', 'rocket science history', 'rocketry']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
46,teaching popular music in the classroom,employ technique teach improvisation blue jazz musicemploy approach teach youth basic principle songwritingengage use social cultural context aspect instructionexplore multiple us technology music making,-0.5523961929986217,0.0,0.2623451119782096,"['music', 'teaching', 'curriculum design', 'learning', 'classroom management']",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
47,realtime embedded system concept and practice,beginning practitioner understanding rate monotonic theory analysis practice embedded systeemsimplementation realtime service posix threadsdifference linux user space kernel space,0.3077239278386365,0.0,-0.2967418445758224,"['posix thread', 'c programming', 'rm lub ( rate monotonic least upper bound )', 'linux on embedded system', 'multi-core processor']",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
48,gender analytics for innovation,recognize way policy product service process might implicitly gendered thus creating inequitable impactdevelop fluency key concept gender analytics including language associated sex gender gender identity intersectionalityevaluate option using gender analytics spur inclusive innovation especially area often considered genderedidentify opportunity build personal organizational capability conduct intersectional gender analytics effectively,-0.5323933994907786,0.0,-0.2967418445758224,"['intersectional analysis', 'gender based analysis', 'business analytics', 'innovation', 'leadership development']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
49,intro to the arctic,appreciate long history arctic peoplesrecognize recall physical geography arctic including major feature arctic ocean arctic landsdescribe key climate environmental element arctic,-0.572398986506465,0.0,-0.2967418445758224,"['history', 'oceanography', 'geography', 'climate change', 'environmental protection']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
50,introduction to business specialization,determine content resonates consumer business differentiate competitive market contentexplore business growth best practice including basic management employee leadership development strategic planningutilize critical financial information help run grow business managing cash flow expense,0.10769599276020433,0.0,-0.2967418445758224,"['storytelling', 'leadership style', 'strategic planning', 'engagement', 'expense control']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
51,assess for success marketing analytics and measurement,define medium planning strategiesdescribe defines successful marketing campaignevaluate metric performance goal make adjustment marketing budget strategycreate presentation report update stakeholder progress success marketing campaign important insight,-0.17234311634960067,0.0,-0.2967418445758224,"['medium planning and strategy', 'spreadsheet management', 'presenting to stakeholder', 'marketing analytics', 'digital marketing kpis']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,setting up your sale,identify strategy conveying insight right contact within customer organization compelling mannerapply probing drilldown questioning uncover important customer information,-0.572398986506465,0.0,-0.2967418445758224,"['outside sale', 'customer relationship management ( crm )', 'sale presentation', 'inside sale', 'career development']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
53,curiosity necessary ingredient for successful innovation,student understand conduct marketplace conversation learn value customer archetype persona enhance idea,-0.3123626709045032,0.0,-0.2967418445758224,"['tenet of evidence based entrepreneurship', 'technology entrepreneurship methodology', 'design thinking', 'lean startup method', 'customer archetype design']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
54,programming,understand critical programming language conceptsconfigure statistical programming softwaremake use loop function debugging toolscollect detailed information using profiler,0.447743482393539,0.0,-0.2967418445758224,"['data analysis', 'debugging', 'r programming', 'rstudio']",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
55,experimental design basic,end course able toapproach complex industrial business research problem address rigorous statistically sound experimental strategyuse modern software effectively plan experimentsanalyze resulting data experiment communicate result effectively decisionmakers,-0.4523822254594057,0.0,-0.2967418445758224,"['statistical method for process and product improvement', 'design of experiment', 'experiment design', 'designing experiment']",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,python bash and sql essential for data engineering specialization,develop data engineering solution minimal essential subset python language linux environmentdesign script connect query sql database using pythonuse scraping library python read identify extract data website,0.9078077330739329,0.0,-0.2967418445758224,"['data science', 'big data', 'python programming', 'bash ( unix shell )', 'database ( dbms )', 'information engineering', 'sql', 'web application']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
57,ibm data science professional certificate,master uptodate practical skill knowledge data scientist use daily roleslearn tool language library used professional data scientist including python sqlimport clean data set analyze visualize data build machine learning model pipelinesapply new skill realworld project build portfolio data project showcase proficiency employer,3.3081429540151186,0.0,-0.2967418445758224,"['data science', 'big data', 'python programming', 'github', 'machine learning', 'deep learning', 'methodology', 'sql', 'rstudio', 'data mining', 'jupyter notebook']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
58,data warehousing and business intelligence,explain different data warehousing architecture multidimensional data modelingdevelop predictive data mining model including classification estimation modelsdevelop explanatory data mining model including clustering association model,-0.572398986506465,0.0,-0.2967418445758224,"['data clustering algorithm', 'data mining for clustering and association', 'data warehousing', 'multidimensional modeling', 'data mining for prediction and explanation']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
