Course Title,Level,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url,Duration to complete (Approx.),Price,Course Picture Url
Social Policy for Social Services & Health Practitioners  Specialization,Beginner level,"Compare historical, intellectual and cross-national perspectives on the size, structure and outcomes of U.S. social policy    Demonstrate knowledge of U.S. social welfare policy and its economic, social, and political contexts, in order to be an engaged citizenDifferentiate the various levels and structures of public benefits, and the social justice impact on people receiving themFormulate skills in social policy implementation in order to be more effective in professional practice","differentiate alternative approaches to social policy problems, Critique components of a social policy based on their effectiveness at meeting the goals stated in the initiative, Formulate practice strategies to overcome the historic biases in social welfare programs, distinguish the values inherent in each social policy initiative, develop social welfare policy analysis and reform proposals","US Social Services Compared, US Social Services: Where did they come from?, Poverty & Population: How Demographics Shape Policy, Social Services for Families, Seniors and Those with Disabilities, Health, Housing, and Educational Services","Theodore Henry King CLARK, Dana Kaminstein",Vanderbilt University,DataScience,https://www.coursera.org/specializations/social-welfare-policy,80,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/06/ec59c00f9411e98b7215b6399bfcd8/specialization-square5.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Data Visualization with Tableau,Beginner level,"Identify the value and structure of Tableau Public as it applies to data visualization in the industry of business analytics.   Build interactive tables by connecting, preparing, and customizing data in Tableau Public. Create data visualizations to communicate analytic insights to the intended audience, such as business stakeholders.","Tableau Public Platform, Data Insights, Data Visualization, Interactive Tables","Foundations of Effective Data Visualizations, Building Basic Visualizations, Building Basic Visualizations II , Building Maps in Tableau, Formatting Your Visualizations","Prasanna Tambe, James D. Thompson, Martin Haugh",University of Pennsylvania,DataScience,https://www.coursera.org/learn/data-visualization-with-tableau-public,26,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/bb/d06cac43124c57a77f2f38be8721d4/1080x1080-Course-5_-Data-Visualization-Public.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Machine Learning Algorithms with R in Business Analytics,Intermediate level,1. Conceptual framework of ML algorithms2. Conceptual foundation for interpreting ML results3. Practice applying ML algorithms to business data,"prediction, regression, R Programming, classification, clustering","Course Orientation and Module 1: Regression Algorithm for Testing and Predicting Business Data, Module 2: Framework for Machine Learning and Logistic Regression, Module 3: Classification Algorithms, Module 4: Clustering Algorithms","Santiago Gallino, Gautam Kaul, Peter Cappelli",Columbia University,Business,https://www.coursera.org/learn/machine-learning-algorithms-r-business-analytics,14,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/3e/c71999246e42b79a384aae764e756c/Gies_Coursera-icon.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
"JavaScript Programming with React, Node & MongoDB Specialization",Beginner level,"Get comfortable with programming concepts using JavaScriptWrite Node.js RESTful APIs using the Express frameworkCreate dynamic, user-friendly front-end web applications with ReactDevelop best practices to deploy, scale, and optimize applications","Node.Js, Mongodb, JavaScript, React, express","JavaScript Programming Essentials, Developing Front-End Apps with React, Developing Back-End Apps with Node.js and Express, Intermediate Back-end Development with Node and MongoDB",Steven Salzberg,The Hong Kong University of Science and Technology,DataScience,https://www.coursera.org/specializations/javascript-programming-with-react-node-mongodb,80,39.5,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/73/75751cad324960adcb8e020966aada/Image-JS-Specialization.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Electron and Ion Beam Characterization,Intermediate level,Explain the interaction of electron and ion beams with semiconductor materials.Describe the constituent components of electron and ion beam characterization systems.Describe applications of electron and ion beam characterization.,"Semiconductor Device, Complementary Metal Oxide Semiconductor (CMOS), Semiconductors, Semiconductor Characterization Techniques, Semiconductor Materials, Semiconductor Device Physics","Course Introduction, Week 4.1: Scanning Electron Microscopy, Week 4.2: Auger Electron Spectroscopy, Week 4.3: Secondary Ion Mass Spectroscopy, Week 4.4: Course Wrap-up and Project","Eric Bradlow, Sergei Savin",Imperial College London,Physical Science and Engineering,https://www.coursera.org/learn/electron-and-ion-beam-characterization,4,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/64/77c14cd5c04df7830d3fd97c0e6e7e/shutterstock_2315479007.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Value-Based Care: Reimbursement Models,Beginner level,"Explain fee-for-service medical coding and payment mechanisms and why fee-for-service leads to higher costs without clearly improving outcomes.Describe the range of value-based payment options from the HCP-LAN Alternative Payment Model framework.Describe the importance of risk adjustment, quality scores, and patient satisfaction measures in value-based care contracts.","Health Education, Patient Care, value-based care, Public Health, Health Care","From Fee-For-Service to Value-Based Payments, Quality and Risk Adjustment in Value-Based Payments, Course Project: Making This My Own","James Riedel, Bright Sheng",University of Michigan,Health,https://www.coursera.org/learn/reimburse-models,5,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/fb/9cdb2c00af46b98da81c12b74d77ef/course-4-logo.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Machine Learning for Accounting with Python,Intermediate level,The concept of various machine learning algorithms.How to apply machine learning models on datasets with Python in Jupyter Notebook.How to evaluate machine learning models.How to optimize machine learning models.,"Python Programming, Machine Learning Model Evaluation and Optimization, Basic Time Series Analysis, Machine Learning Modeling, Text Analysis","Introduction to the Course, Module 1: Introduction to Machine Learning, Module 2: Fundamental Algorithms I, Module 3: Fundamental Algorithms II, Module 4: Model Evaluation, Module 5: Model Optimization, Module 6: Introduction to Text Analysis, Module 7: Introduction to Clustering, Module 8: Introduction to Time Series Data","Amol S. Navathe, Christopher Brooks, Mike Barinek",Johns Hopkins University,Math and Logic,https://www.coursera.org/learn/machine-learning-accounting-python,64,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/97/7bfe4146b849af883f8b82ee1d0117/Gies_Coursera-icon.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Engineering Genetic Circuits: Design,Beginner level,"Identify the different types of cells, their components, and structure.Discover the underlying structure of devices and their connection to genetic parts.Contrast different experimental techniques used in genetic construction.Evaluate the different principles used in genetic circuit design.","Biology, Genetic Circuit Assembly, Genetic circuit parts, Genetic circuit devices, Genetic Circuit Design","An Engineers Guide to Genetic Circuits, Genetic Parts, Genetic Devices, Genetic Construction, Principles of Genetic Circuit Design","Andrew Kandel, Christy Bozic, Ben Langmead",University of Glasgow,Math and Logic,https://www.coursera.org/learn/engineering-genetic-circuit-design,19,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/4c/1a55f1a4294d8b84907225dcd2dc2b/Synthetic-Biology_1-56-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Introduction to .NET Core,Beginner level,"Understand .NET Core's features, versions, and setup, including differences between .NET Core and .NET Framework and development environment setup. Master .NET Core Architecture, CLI and core components to efficiently develop, build, test, and deploy applications using various commands and tools.Learn ASP.NET Core for web applications, MVC patterns, handling responses, and configuring applications including routing and hosting environments. Gain proficiency in .NET Core concepts like Dependency Injections, IoC Containers, middlewares, configuration, debugging & testing techniques. ",".Net, Middleware, .NET Core, C Sharp (C#) (Programming Language), MVC","Introduction to .Net Development, Building Web Applications using ASP.NET Core, .NET Core Advance Concepts","Joseph W. Cutrone, Ben Langmead",University of Glasgow,Computer Science,https://www.coursera.org/learn/intro-to-dotnet-core,12,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/59/8c50da3bc644d587a46a364a6942b4/introducing-.net-core-1-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Genomic Data Science Specialization,Intermediate level,"Next generation sequencing experimentsGenomic technologiesDNA, RNA and epigenetic patternsGenome analysis","Bioinformatics Algorithms, Algorithms, Python Programming, Algorithms On Strings, Bioinformatics, Biopython, Genomics, Statistics, Data Science, Computational Biology, Samtools, Command-Line Interface, Unix, Data Analysis, R Programming, Biostatistics, Bioconductor","Introduction to Genomic Technologies, Python for Genomic Data Science, Algorithms for DNA Sequencing, Command Line Tools for Genomic Data Science, Bioconductor for Genomic Data Science, Statistics for Genomic Data Science","Matthew Bengtson, Peter Struck",University of Pennsylvania,Math and Logic,https://www.coursera.org/specializations/genomic-data-science,40,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/17/4df3b0a98411e591c0b9c70a6d8700/GBDS.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Social Media and Social Content Strategy,Beginner level,The benefits and advantages to a business of incorporating social media into its overarching digital strategyHow to differentiate between the most influential social media platforms and their advantages for marketers targeting a specific audienceHow to implement and analyze the effectiveness of a social content promotion and distribution strategy,"Build and sustain a social media community, Share and promote social content, Set up a social media experience for a business, Choose social media platforms and tools, Plan a social media advertising strategy","Social Media and Business Strategy, Social Media Platforms for Business, Social Content Strategy and Promotion","Philip Nichols, Jay Clayton",University of Glasgow,Personal Development,https://www.coursera.org/learn/social-media-social-content-strategy,10,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/2a/7f07926cae411faf9bff4f7b3c74c3/Social-Media-and-Social-Content-Strategy.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
IBM Full-Stack JavaScript Developer Professional Certificate,Beginner level,"Master the full-stack development languages, frameworks, tools, and technologies to develop job-ready skills valued by employers.Write, deploy, and scale cloud-native back-end applications using Node, NoSQL databases, containers, microservices, and serverless.Develop websites and front-end software using HTML, CSS, JavaScript, and React.Employ DevOps practices and Agile methodologies to continuously build and deploy software using CI/CD tools.","Full-Stack Development, Azure DevOps, javascript library, JavaScript, React, Node","Introduction to Software Engineering, Introduction to HTML, CSS, & JavaScript, Getting Started with Git and GitHub, JavaScript Programming Essentials, Developing Front-End Apps with React, Developing Back-End Apps with Node.js and Express, Get Started with Cloud Native, DevOps, Agile, and NoSQL, Introduction to Containers w/ Docker, Kubernetes & OpenShift, Application Development using Microservices and Serverless , Intermediate Back-end Development with Node and MongoDB, JavaScript Full Stack Capstone Project, Software Developer Career Guide and Interview Preparation","David Dye, Peter Cappelli, R. Polk Wagner, Isaac Droscha, Daniel Walkes",Columbia University,DataScience,https://www.coursera.org/professional-certificates/ibm-full-stack-javascript-developer,200,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/2c/c9b36e0de04147b43661ee0655561f/Image-JS-Full-Stack.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Cybersecurity for Data Science,Beginner level,Characterize the CIA principles and use them to classify a variety of cyber scenarios.Identify and disseminate vulnerabilities in the data security space- social (human) and technical (digital).Distinguish ethical boundaries of hacking and its applications.Explore professional cybersecurity networks and connect with experts from the field.,"Communication, Risk Analysis, Problem Solving","Basic Cybersecurity Concepts and Principles, Your Cyber Story and Your Public Data Profile, Wifi, IoT, Hacking, Data Breaches and Social Engineering, The Ethics of Cyber Security, Cybersecurity Expert Interview","Dana Kaminstein, Erin Willis, Yaakov Chaikin, Garvin Percy DIAS",Vanderbilt University,DataScience,https://www.coursera.org/learn/cybersecurity-for-data-science,19,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/5a/c48099a3ff412f97993d623ef4c7ff/Cyber-Logo-2-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Data Visualization with R,Beginner level,"Create bar charts, histograms, pie charts, scatter plots, line graphs, box plots, and maps using R and related packages. Design customized charts and plots using annotations, axis titles, text labels, themes, and faceting. Create maps using the Leaflet package for R. Create interactive dashboards using the Shiny package for R. ","Data Science, Data Analysis, Data Visualization, R Programming","Module 1 - Introduction to Data Visualization, Module 2 - Basic Plots, Maps, and Customization, Module 3 - Dashboards, Module 4 - Final Assignment","Chris Koehler, Senthil Veeraraghavan, Robert W. Holthausen",Vanderbilt University,Computer Science,https://www.coursera.org/learn/data-visualization-r,12,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/3f/88b1a17f4f47898300f060f8bcf83b/Data-Visualization-with-R.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
"C++ Basic Structures: Vectors, Pointers, Strings, and Files",Beginner level,Store and manipulate vectors of dataCompare and manipulate strings of textRead and write to text and CSV files,"Strings, Computer Science, C++, Files, vectors","Vectors, Pointers, Strings, Files","Clifford B Anderson, Jonah Berger, Xuhu Wan",University of Michigan,Computer Science,https://www.coursera.org/learn/cpp-basic-structures-vectors-pointers-strings-and-files,9,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/12/583c8ca581483997547e21173d1da6/Lists-Arrays-_3-3x.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Study Designs in Epidemiology,Intermediate level,Compare and contrast different epidemiological study designs in order to describe their strengths and weaknesses.,"Randomized Controlled Trial, Study designs, Case-Control Study, Cohort","Introduction to Study Designs: Ecological and Cross-Sectional Studies, Case Control Studies, Cohort Studies and Nested Studies, Randomised Controlled Trials","Achyuta Adhvaryu, Jacob Pritt, Raghu Iyengar, Paul Harris, Mike Fitzpatrick",The Hong Kong University of Science and Technology,Health,https://www.coursera.org/learn/study-designs-epidemiology,8,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/91/e5ea80369211e99886316edc576918/Epidemiology-For-Public-Health-_2_.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Fundamentals of Good Clinical Practice: Prep and Personnel,Beginner level,"Explore the clinical trial process, the details of good clinical practice, and regulatory requirements.","Drug Development, Regulatory frameworks, Good Clinical Practices (GCP), Clinical trial basics, Clinical trial diversity","Preparing for a Clinical Trial, Preparing for a Clinical Trial, part 2, Investigator and Site Staff",Karl  T. Ulrich,University of Glasgow,Personal Development,https://www.coursera.org/learn/fundamentals-of-gcp-prep-staffing,2,14,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/80/0788ac908c411f829f7728cedb0d4a/Coursera-Thumbnail.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Build Wireframes and Low-Fidelity Prototypes,Beginner level,Create storyboards to come up with ideas about solutions to user needs.Create wireframes on paper and digitally in the design tool Figma.Build paper prototypes to create interactive designs.Design low-fidelity prototypes in Figma. ,"User Experience (UX), Prototype, Wireframe, User Experience Design (UXD), UX Research","Storyboarding and wireframing , Creating paper and digital wireframes, Building low-fidelity prototypes","R. Polk Wagner, Michael Weisberg, Isaac Droscha, Gautam Kaul",Columbia University,Computer Science,https://www.coursera.org/learn/wireframes-low-fidelity-prototypes,17,7.5,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/e8/988c2c9364474399749b5c391be93a/1200x600_certsResize_3.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=320&h=180&fit=crop&q=50&crop=faces
Introduction to Semiconductor Process 1,Intermediate level,Learn about modern semiconductor process  ,"Ion Implantation, CMOS Process, MOSFET, semiconductior, Diffusion & Doping, Oxidation","Week 1 Overview of MOSFET theory, Week 2 CMOS Process Integration, Week 3 Cleanroom, RCA Cleaning Crystal Growth, Week 4 Diffusion & Doping, Week 5 Oxidation, Week 6 Ion Implantation, Week 7 Lithography, Week 8 EUV Lithography","David Underwood, Brian Caffo, George Siedel",Imperial College London,Physical Science and Engineering,https://www.coursera.org/learn/semiconductor-process-1,4,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/5c/85e8f3ca2e4321b9dd3a8b80c6cc9e/sujeong_sseomneil_kosera_igeonjae_introduction-to-semiconductor-process-1-.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
HRCI Human Resource Associate Professional Certificate,Beginner level,Explain the requirements and techniques to recruit and retain talent for an organizationUnderstand how performance management and feedback impact employee relations in an organizationEvaluate the various benefits of total remuneration and technology for an organization,"Employee Relations, Training development, Performance Management, Recruitment, Compliance strategy","Talent Acquisition, Learning and Development, Compensation and Benefits, Employee Relations, Compliance and Risk Management","Philip Nichols, Joseph W. Cutrone, Shree Nayar, Jem Corcoran, Christy Bozic",University of Glasgow,Business,https://www.coursera.org/professional-certificates/hrci-human-resource-associate,120,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/df/ccc92936344beb9c95b5cfedd08c69/Program_Logo_5.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Agile Development Specialization,Beginner level,"How to determine what's valuable to a user early by focusing your team on testable narratives and creating a strong shared perspective  How to drive a focus on outcomes over outputs by facilitating a culture of experimentation and a test-driven, results-driven approach to agileHow to charter and focus an analytics (and data science) program that enhances your core objectivesHow to iteratively identify and test the right agile practices from leading frameworks like scrum, XP, and kanban to your team's work","hypothesis-driven development, agile, Lean Startup, User Experience (UX), Design Thinking","Agile Meets Design Thinking, Hypothesis-Driven Development, Product Analytics and AI, Managing an Agile Team",Robert W. Holthausen,Vanderbilt University,Personal Development,https://www.coursera.org/specializations/agile-development,40,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/49/336b90a5d211e58ea1475cfc62b42e/Cowan_Thumbnail_360_360.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
